영상 제목,키워드,채널 이름
"황교익 ""이낙연 정치 생명 끊겠다""…폭탄발언에 '후폭풍' (2021.08.18/뉴스데스크/MBC)",황교익 이낙연 정치 생명  폭탄발언 후폭풍 뉴스데스크,MBCNEWS
"황교익 자진사퇴 공개 거부…""이낙연 정치생명 끊겠다"" / JTBC 아침&",황교익 자진사퇴 공개 거부 이낙연 정치생명 아침,MBCNEWS
"""쥴리 들어봤다""...""저질 정치"" 비판 / YTN",쥴리 저질 정치 비판,MBN News
"올림픽도, 연말도 언제인지 모르고 산다. 오직 추위와 더위, 낮과 밤만 있을 뿐. 마지막 화전민, 강원도 골짜기 '사무곡'의 겨울 (KBS_2018.01.13 방송)",올림픽 연말 언제 오직 추위 더위 낮 밤 마지막 화전민 강원도 골짜기,MBN News
"기승전결 완벽한 총정치국장 아들 리정혁 큰 그림, 오직 윤세리를 위한 것이었다..!! 권력 이용의 바른 예시(?) | #사랑의불시착 #ing",,뉴스TVCHOSUN
[나이트포커스] 탈레반 재집권...공포 정치 현실화 / YTN,,뉴스TVCHOSUN
"[숏토리:정치] '독기 품은' 황교익 ""이낙연 정치 생명 끊을 것""",,MBCNEWS
[뉴스외전 정치 '맞수다'] '황교익+이준석·윤석열 갈등+언론중재법 충돌'=? (2021.08.19/뉴스외전/MBC),,MBCNEWS
[뉴스외전 정치 '맞수다'] 국민의힘 '토론회' 전격 취소…이준석·윤석열 갈 데까지 갔다? (2021.08.17/뉴스외전/MBC),,팩트TV NEWS
"[TV CHOSUN LIVE] 8월 19일 (목) 시사쇼 이것이 정치다 - 원희룡 ""녹취록 공방 그만""",,팩트TV NEWS
"황교익 ""이낙연 정치생명 끊는데 집중""...국민의힘 '윤석열 정리 녹취' 파장 / YTN",,씨리얼
[뉴스외전 정치 '맞수다'] 윤석열 최재형은 토론을 피한다? (2021.08.16/뉴스외전/MBC),,씨리얼
탈레반식 '공포 정치' 부활…최악 상황 현실로 [MBN 종합뉴스],,EBSi 고교 기출의 모든 것
"""대통령 중임제 개헌"" 홍준표 후보의 대선 출마 선언 I 들어봅시다 I 210817",,EBSi 고교 기출의 모든 것
[이슈폴폴] 여론조사로 풀어 보는 정치…8월 셋째주 민심은? / 연합뉴스TV (YonhapnewsTV),,MBCNEWS
"[TV CHOSUN LIVE] 8월 18일 (수) 보도본부 핫라인 - 이준석과 원희룡 ""정리"" 발언 공방",,MBCNEWS
"[TV CHOSUN LIVE] 8월 18일 (수) 시사쇼 이것이 정치다 - 이준석·원희룡, 정면 충돌",,JTBC News
[뉴스큐] '정치 생명'까지 언급...황교익 사태 책임은 누가? / YTN,,JTBC News
"탈레반의 공포정치, 도대체 어떤 수준이기에?",,YTN news
"황교익 ""자진사퇴는 없다…이낙연 정치생명 끊을 것"" / JTBC 뉴스룸",,YTN news
“이낙연 정치생명 끊겠다” 與경선판 황교익 돌발 변수 / KBS 2021.08.18.,,KBS여행 걸어서 세계속으로
"[인터뷰] 최재형 ""문재인 대통령에 부채 의식 없어"" / SBS / 주영진의 뉴스브리핑",,KBS여행 걸어서 세계속으로
"[정치 맞수다] 돌고래 vs 하이에나? 이준석·윤석열, 왜 충돌하나? (2021.08.12/뉴스외전/MBC)",,?잉 #ing
[TV CHOSUN LIVE] 8월 17일 (화) 시사쇼 이것이 정치다 - 이준석의 '尹 곧 정리' 발언 논란,,?잉 #ing
[TV CHOSUN LIVE] 8월 16일 (월) 시사쇼 이것이 정치다 - 이준석·윤석열 통화 유출 의혹,,YTN news
"사퇴 일축한 황교익 ""이낙연 정치생명 끊을 것"" | 뉴스A 라이브",,YTN news
[정치 맞수다] 윤석열의 '돌고래론'…그런데 왜 지지율은 떨어지나? (2021.08.09/뉴스외전/MBC),,채널A 뉴스
"황교익 ""이낙연 정치생명 끊겠다""…이재명측 '황교익 리스크' 고민 [뉴스 9]",,채널A 뉴스
"[숏토리:정치] 원희룡 폭로 '일파만파'...""이준석, 尹 금방 정리된다고 했다""",,MBCNEWS
"[TV CHOSUN LIVE] 8월 13일 (금) 시사쇼 이것이 정치다 - 조국 ""정경심 2심 판결 충격""",,MBCNEWS
필사의 탈출 왜…인권 탄압·여성학대 공포정치 돌아오나…바이든 “철군 비판 감수할 것”…국제사회 공조 한계 드러나 / KBS 2021.08.17.,,MBCNEWS
"황교익 ""이낙연 정치생명 끊는데 집중""...국민의힘 '윤석열 정리 녹취' 파장 / YTN",,MBCNEWS
[영상] 20년 만에 재집권한 탈레반...공포 정치 현실화 / YTN,,뉴스TVCHOSUN
‘흑역사’ 반복…아프간 사태로 바라본 냉엄한 국제정치 현실 / KBS 2021.08.18.,,뉴스TVCHOSUN
"탈레반, 공포정치 본격화…아프간 소녀 ""서서히 죽어갈 것"" / 연합뉴스TV (YonhapnewsTV)",,YTN news
"[정치톡톡] '친일' 공세까지 / ""윤석열 정리된다"" / ""토론 무서우면 사퇴해"" / 또 역사인식 논란 [MBN 종합뉴스]",,YTN news
"[#알고리줌] ‘관망 친문 의원들’의 선택, 민주당 경선 판도 흔들까? / YTN",,MBCNEWS
“이낙연 정치생명 끊겠다” 여 경선판 황교익 돌발 변수 / KBS 2021.08.19.,,MBCNEWS
[탑골정치] 이명박 대통령 특집! 유머있는 남자가 국회 입성한 썰ㅣ정치합시다,,MBN News
"[정치톡톡] 안철수의 선택 / ""여행의 절반은 먹는 것"" / 딸의 사과 [MBN 종합뉴스]",,MBN News
"[#알고리줌] “저거 곧 정리” 공방, 당사자 윤석열은 왜 침묵했을까? / YTN",,정치합시다
"[현장영상] 김동연, 고향서 대선 출마 선언…""기존 정치세력에 숟가락 얹지 않겠다"" / JTBC News",,정치합시다
"[채널A 특별기획] MZ세대, 정치를 말한다",,연합뉴스TV
윤석열 열흘째 잠행…당 갈등 거리두기? | 토요랭킹쇼,,연합뉴스TV
"당 비상대책위 추진설에 ""자폭 정치"" 비판...윤석열 캠프 ""사실무근"" / YTN",,뉴스TVCHOSUN
정치해서 이득챙기는 얌체김동현 맞정치로 죠지?ㅋㅋㅋㅋㅋㅋㅋ,,뉴스TVCHOSUN
"[TV CHOSUN LIVE] 8월 11일 (수)시사쇼 이것이 정치다 - 정경심, 2심에서도 징역 4년",,뉴스TVCHOSUN
"[TV CHOSUN LIVE] 8월 6일 (금) 시사쇼 이것이 정치다 - 이준석, 윤석열 군기잡기?",,뉴스TVCHOSUN
"[풀영상] 지식다방 ep.3 : 정치, 경제, 그리고 불평등 | 정치합시다",,YTN news
"사이다 전담반 김영배 ""당내 진흙탕 감추려 길거리 의총? 국힘식 망신정치 그만""",,YTN news
"[정치 맞수다] 이재명 ""전 도민 재난지원금""…국민의힘 '토론' 대신 '발표회' (2021.08.13/뉴스외전/MBC)",,뉴스1TV
민주 “윤석열·최재형 망했다…수사심의위 권고로 ‘피해자 코스프레’ 끝”,,뉴스1TV
"국힘 대선후보들 이구동성 윤석열X최재형 비난. ""구태정치 하려고 입당했냐"" 경선 배제 요구까지. 은근 사이다 맛집",,JTBC News
"탈레반, 카불 완전 점령 공포정치 회귀 우려 [이슈픽]",,JTBC News
"[나이트포커스] 황교익 ""이낙연 정치 생명 끊겠다"" / YTN",,KBS News
[정치 맞수다] 전격 분석! 이재명 '정체' 윤석열 '하락' 이낙연 '추격' (2021.07.20/뉴스외전/MBC),,KBS News
사소한거 하나하나까지 활용하는 정치왕 임포스터?? 【어몽어스】,,SBS 뉴스
"[더뉴스-더인터뷰] 국민의힘, '토론회·녹취록' 이어 이번엔 '경선 룰' 갈등 / YTN",,SBS 뉴스
"별다줄 정치용어 총정리하기! | 정치합시다, 은하바에서 ep.3 | 정치합시다",,MBCNEWS
[총선 맞춤 정치수업] 4.15 선거 전 주요 정당들 헷갈리면 클릭!,,MBCNEWS
[정치 맞수다] 보궐선거 여·야 판세변화 가능한가? (2021.03.25/뉴스외전/MBC),,뉴스TVCHOSUN
집집 돌며 색출하고 공개 처형…공포정치 시작 (2021.08.21/뉴스데스크/MBC),,뉴스TVCHOSUN
"[정치 맞수다] 대선가도 들어선 여·야의 서로 다른 잡음, 20대 남자 투표성향에 대한 여·야의 분석 (2021.04.12/뉴스외전/MBC)",,뉴스TVCHOSUN
"윤희숙 ""정치 경험 부족?…지도자 상 바뀌어야"" / SBS / 주영진의 뉴스브리핑",,뉴스TVCHOSUN
대한민국 정치경제 10분 요약정리,,채널A 뉴스
"[홍준표 인터뷰 3편] ""문재인 대통령처럼 정치보복, 절대 안할 것""",,채널A 뉴스
원내대표만 알아도 정치 뉴스 해석 가능 l 3분정치수업,,MBCNEWS
디플로도쿠스를 구해줘 | 공룡구조대 | 티라노사우루스 | 깨비키즈 KEBIKIDS,,깨비키즈 [KEBIKIDS]
Yes Yes Brush Your Teeth + More Nursery Rhymes & Kids Songs - CoComelon,,깨비키즈 [KEBIKIDS]
[??LIVE] 깨비키즈 요절복통 알랑이 정주행 연속방송~ 무한 스트리밍 방송 | 깨비키즈 KEBIKIDS,,Cocomelon - Nursery Rhymes
뽀로로 젤리는 누가 먹은거야? 서은이의 키즈 거짓말 탐지기 Lie Detector Toy for Kids,,Cocomelon - Nursery Rhymes
장수풍뎅이를 구해줘 | 곤충구조대 | 깨비키즈 KEBIKIDS,,깨비키즈 [KEBIKIDS]
[30분] 예준이와 아빠의 장난감 가게놀이 과일 아이스크림 햄버거 마트놀이 전동 자동차 ICE CREAM Store Food Toy Video for Kids,,깨비키즈 [KEBIKIDS]
마카롱 도둑 | 꼬마 경찰관 잭 | 깨비키즈 KEBIKIDS,,서은일상이야기
은혜 갚은 두꺼비 | 전래동화 |  옛날이야기 | 깨비키즈 KEBIKIDS,,서은일상이야기
예준이와 키즈카페 어린이 실내놀이터,,깨비키즈 [KEBIKIDS]
?? LIVE: Wolfoo's Playtime on the Beach - Play Safe at the Beach - Kids Safety Tips | Wolfoo Family,,깨비키즈 [KEBIKIDS]
Blippi Explores A Red Tractor! Construction Vehicles Part 2 | Educational Videos For Kids,,With Kids[위드키즈]
Baby doll kitchen car toys cooking food and surprise eggs play 아기인형 주방놀이 자동차 장난감 음식 요리놀이 - 토이몽,,With Kids[위드키즈]
핑크퐁 중장비들과 함께 듀플로 친구들을 도와주자! | 핑키팝토이,,깨비키즈 [KEBIKIDS]
[40분] 재미있는 수영장 숨바꼭질 키즈카페 모음 LimeTube 라임튜브,,깨비키즈 [KEBIKIDS]
외계인이 나타났어요!! 서은이의 외계인 풍선 숨바꼭질 Seoeun fun Play with Giant Alien Balloon,,깨비키즈 [KEBIKIDS]
영어동화 60분 연속보기 | 빅키즈영어동화연속듣기 | 모야몽  | 인기동화,,깨비키즈 [KEBIKIDS]
"No No Chocolate Bath, Baby Jenny! - It's Bath Time! - Kids Stories About Baby | Wolfoo Family",,With Kids[위드키즈]
과일 아이스크림 만들기와 수영장 시크릿쥬쥬 키즈카페 놀이 supermarket song nursery rhyme | johny johny,,With Kids[위드키즈]
지니도 키즈카페에서 놀고 싶어요!!!,,Wolfoo Family
어떤 도시락이 더 맛있을까요? 서은이의 젤리 도시락 만들기 몰티져스 계란후라이 빨대 링 젤리 Seoeun VS Mom Jelly Lunch Box Contest,,Wolfoo Family
매머드를 구해줘 | 공룡구조대 | 티라노사우루스 | 깨비키즈 KEBIKIDS,,Blippi - Educational Videos for Kids
사슴벌레를 구해줘 | 곤충구조대 | 깨비키즈 KEBIKIDS,,Blippi - Educational Videos for Kids
아르헨티노사우루스를 구해줘 | 공룡구조대 | 티라노사우루스 | 깨비키즈 KEBIKIDS,,Toymong tv 토이몽TV
??우리는 상어가족 | 상어동요 | 상어가족 |슈퍼가족 | 동물동요 | 스토리동요 | 인기동요 | 티디키즈★지니키즈,,Toymong tv 토이몽TV
예준이의 어린이 직업체험 놀이 키즈 박물관 소방관 경찰관 의사놀이 Fun Pretend Play Professions for Kids Museum,,핑키팝토이
티라노사우루스의 변비 | 공룡구조대 | 티라노사우루스 | 깨비키즈 KEBIKIDS,,핑키팝토이
"CoComelon All Kids Songs - Wheels On The Bus, ABC 123 + More Nursery Rhymes & Kids Songs",,Lime Tube[라임튜브]
팝잇 푸쉬팝 상황극 모아보기 꿀잼영상 [푸쉬팝 자매전쟁 엄마의푸시팝중독 이푸쉬팝이니푸쉬팝이냐]롤롤라임 lollolraim / Pop It Challenge,,Lime Tube[라임튜브]
할로윈 특집 2편 예준이 집에 슬라임 액체괴물 유령 물리쳐라! 외계인 고스트 바스터즈 놀이 Kids Haunted House Slimer Ghost Busters,,서은이야기[SeoeunStory]
[미니특공대]미니특공대 키즈카페로 출동!! 키즈카페/특공대원/미션/채빈/범퍼카/물총/튜브슬라이드/낚시/밀크팡,,서은이야기[SeoeunStory]
Do The Animal Dance | CoComelon Nursery Rhymes & Kids Songs,,모야몽[리틀천재] -인기 동요?동화
아나토티탄을 구해줘 | 공룡구조대 | 티라노사우루스 | 깨비키즈 KEBIKIDS,,모야몽[리틀천재] -인기 동요?동화
Stray Kids(스트레이 키즈) “소리꾼” SKZOO ver. Performance Video Teaser,,Wolfoo Family
Kids Try a Raw Food Diet  | Kids Try | HiHo Kids,,Wolfoo Family
[찾았다 스트레이 키즈 최신판] Ep.1 (Full Ver.) (ENG SUB),,Lime Tube[라임튜브]
라바키즈 추천 인기 동요 5곡 모음 | 어린이 동요 | 라바키즈 |,,Lime Tube[라임튜브]
[스트레이키즈] 변화가 온 듯한 가관즈 관계성 2021업데이트 Ver.,,헤이지니 Hey Jini
Kids Say The Darndest Things 123 | Funny Videos | Cute Funny Moments,,헤이지니 Hey Jini
[최초 공개] 펜트하우스 히든 룸 ?헤라 클럽 키즈 편? 시간 순삭 꿀잼 토크 놓치면 후회! #펜트하우스 #SBScatch,,서은이야기[SeoeunStory]
Real Food vs Fake Food - Wolfoo Plays Pop It Challenge -Kids Good Habits |Wolfoo Family Kids Cartoon,,서은이야기[SeoeunStory]
[릴레이댄스] Stray Kids(스트레이 키즈) -  神메뉴(God's Menu) (4K),,깨비키즈 [KEBIKIDS]
[BE ORIGINAL] Stray Kids '神메뉴(God's Menu)' (4K),,깨비키즈 [KEBIKIDS]
"Stray Kids(스트레이 키즈) ""소리꾼"" M/V Teaser 2",,깨비키즈 [KEBIKIDS]
스트레이 키즈 (Stray Kids) - Dionysus (원곡: 방탄소년단) + 神메뉴 [2020 KBS 가요대축제] | KBS 201218 방송,,깨비키즈 [KEBIKIDS]
[ENG] [1회] ♬ MIROH - 스트레이 키즈(Stray Kids)ㅣ100초 퍼포먼스#킹덤:레전더리워 |  EP.1 | Mnet 210401 방송,,깨비키즈 [KEBIKIDS]
FANCY - Stray Kids(스트레이 키즈) [뮤직뱅크 Music Bank] 20190628,,깨비키즈 [KEBIKIDS]
"Stray Kids ""소리꾼(THUNDEROUS)"" M/V Teaser 1 and 2 | REACTION!",,티디키즈 by 지니키즈
아파토사우루스를 구해줘 | 공룡구조대 | 티라노사우루스 | 깨비키즈 KEBIKIDS,,티디키즈 by 지니키즈
스트레이 키즈(Stray Kids)가 한가위에 모여서 한 일은?!｜Stray Kids(스트레이 키즈): 제 9구역 시즌5(The 9th Season 5) EP.03,,With Kids[위드키즈]
[릴레이댄스] 스트레이 키즈(Stray Kids) - Back Door (4K),,With Kids[위드키즈]
"Stray Kids(스트레이 키즈) ＜NOEASY＞ UNVEIL : TRACK 7 ""The View""",,깨비키즈 [KEBIKIDS]
[40분] Special video for kids! 추석특집 인기영상 수지랑 용암놀이 뽀로로 짜장면 콩순이 장난감 주방놀이 핑크퐁 아기상어 영어 배우기,,깨비키즈 [KEBIKIDS]
보람이의 아기동생 돌보기 놀이 Boram Taking Care of Baby,,Cocomelon - Nursery Rhymes
[주간아이돌] 기습 라이브 with 스트레이 키즈,,Cocomelon - Nursery Rhymes
키즈 카페 색깔놀이 예준이의 실내 놀이터 미끄럼틀 타기 뽀로로 파크 타요 버스 동요 핑거 패밀리 전동 자동차 Learn Colors Indoor Playground for Kids,,롤롤라임[lollolraim]
"Stray Kids(스트레이 키즈) ""바보라도 알아"" M/V",,롤롤라임[lollolraim]
[스페셜 요약] 순옥킴 등판! 헤라 키즈들이 뽑은 명장면부터 히든 어워즈까지?? #펜트하우스 #SBScatch,,With Kids[위드키즈]
8월 키즈페어,,With Kids[위드키즈]
스트레이 키즈 멤버들을 벌벌 떨게 한 것의 정체는?｜Stray Kids(스트레이 키즈):  제 9구역 시즌4(The 9th Season 4) EP.01,,미니특공대TV
상어는 배꼽이 없어요 | 상어동화 | 창작동화 | 아기상어 | 깨비키즈 KEBIKIDS,,미니특공대TV
예준이 타요키즈카페 블록모래놀이,,Cocomelon - Nursery Rhymes
운동이 필요한 날! 라바와 함께 율동 해봐요!!  | 라바키즈 동요 | 라바와 함께 부르는 신나는 어린이 노래,,Cocomelon - Nursery Rhymes
(ENGsub)[쇼음악중심] Stray Kids - 끝나지 않을 이야기(Stray Kids - Neverending Story) 20191221,,깨비키즈 [KEBIKIDS]
위드키즈 예준이와 아빠의 자동차 장난감 놀이,,깨비키즈 [KEBIKIDS]
[소장각?? #136] 최강 소리꾼?? 스트레이키즈 우? 뮤직뱅크 무대 몰아보기?? (Stray Kids Stage Compilation) | 뮤직뱅크 [KBS 방송],,JYP Entertainment
Camping with 10 kids,,JYP Entertainment
[찾았다 스트레이 키즈] ★최초공개★ 어서와 찬이네 집은 처음이지? | Ep.2 (ENG SUB),,HiHo Kids
위드키즈 영상 모음 30분 스페셜 예준이의 슈퍼바이크 플레이하우스 숨바꼭질 짜장면 어린이 놀이터 자동차 장난감 With Kids Video Compilation,,HiHo Kids
테이퍼링보다 北 리스크가 문제! 환율을 증시 향방 키(Key) / 삼성전자·SK하이닉스·현대모비스 / 이승조 다인경제 대표 / 투자의 맥 / 진짜전략 / 한국경제TV,,급등소문 월가주식
"은행 대출중단 사태, 농협은 시작일 뿐/한국경제TV뉴스",,한국경제TV
"[경제전쟁 꾼 24]""시간 없다"" 전기차 배터리 '속도전' 불붙은 소재·부품주 (삼프로TV 김동환, 한병화, 이안나, 김현수) / LG화학/LG에너지솔루션/삼성SDI/SK이노베이션",,한국경제TV
"2021년 8월 20일 (금) 아침&매일경제 다시보기 - ""김어준 이어 이해찬까지 나서 중재…'황교익 사태' 봉합""외 주요기사",,한국경제TV뉴스
"[경제전쟁 꾼 24]""시간 없다"" 전기차 배터리 '속도전' 불붙은 소재·부품주 (삼프로TV 김동환, 한병화, 이안나, 김현수) / LG화학/LG에너지솔루션/삼성SDI/SK이노베이션",,한국경제TV뉴스
"[신선한 경제] ""어쩐지 덥더라""…체감온도, 기온보다 더 올랐다 (2021.08.20/뉴스투데이/MBC)",,한국경제TV
삼성전자 3분기 실적나오면 오를까? 조기 테이퍼링과 반도체 업황 우려에 힘 못쓰는 증시 / 삼성전자 / 테이퍼링 / 정다운 이베스트투자증권 / 한국경제TV,,한국경제TV
"[VOA 뉴스] 김정은 돈주 압박 “시장경제 후퇴, 경제 악영향”",,MBN News
"[신선한 경제] 온라인으로 산 명품 가방, 혹시 '짝퉁'? (2021.08.19/뉴스투데이/MBC)",,MBN News
미국 군사작전 카불 공항 국한…탈레반 압박은 ‘경제·외교’로 / KBS 2021.08.19.,,한국경제TV
"[신선한 경제] ""배달시키면 비싼데…치킨도 간편식으로"" (2021.08.19/뉴스투데이/MBC)",,한국경제TV
"인플레, 생각보다 세게 올 수 있다?(김한진)/ 주식경제 이슈분석 / 한국경제TV",,MBCNEWS
한눈에 보는 경제 - 나의 비만을 왜 나라에서 걱정하는 걸까?_#001,,MBCNEWS
"2021년 8월 19일 (목) 아침&매일경제 다시보기 - ""국민의힘 이준석-원희룡 통화 녹취록 공방""외 주요기사",,한국경제TV
레바논 유조차 터져 100여명 사상...최악 경제위기 속 비극 / YTN,,한국경제TV
[머니올라 304화/염블리의 비밀노트] 부동산·환율 급등 vs 코로나 확산... 한은 금리 인상 강행할까?(염승환 이사),,VOA 한국어
"""내년 하반기 경제위기 온다"" '닥터 둠' 김영익 교수가 말하는 위기에 큰 돈 버는 부자들 특징│ 자산 불리려면 '이것' 필요 [인사이드 스토리]",,VOA 한국어
금융천재 오건영 부부장이 본 매크로 환경 급변 대응을 위한 분산 투자전략은? / 삼성전자 / SK하이닉스 / 오건영 신한은행 부부장 / 한국경제TV,,MBCNEWS
"기후위기 시대, 경제와 투자전략도 이렇게 바뀌어야 합니다 | 슈카 유튜브 채널?@슈카월드?크리에이터 | 경제 ESG 투자 | 세바시 1359회",,MBCNEWS
"[뉴스외전 경제 '쏙'] ""종부세 완화.대출 규제…부동산 정책 앞뒤 안 맞는다!"" (2021.08.20/뉴스외전/MBC)",,KBS News
[신선한 경제] 휴대전화로 걸었더니 요금 최대 14배? (2021.08.18/뉴스투데이/MBC),,KBS News
[경제 톡톡톡]신축빌라 ‘깡통전세 주의보’…서울 강서구 83% | 뉴스A 라이브,,MBCNEWS
실감 안 나는 인구 절벽…'100년 뒤' 계산해본 충격 결과 / SBS / 친절한 경제,,MBCNEWS
[거리의 경제 7편] 내 월급 빼고 다 오르는 이유 / '스태그플레이션' 완벽정리 (2021.07.03/뉴스데스크/MBC),,한국경제TV
델타 변이 충격 '확산'…미국 경제 회복세 꺾이나? (2021.08.16/뉴스투데이/MBC),,한국경제TV
"김동연 전 경제부총리, 고향서 대선 출마 공식화 / JTBC 아침&",,EBSCulture (EBS 교양)
건설주 하반기 모멘텀 세 가지 / GS건설 / 신서정 SK증권 연구위원 / 애널리스트 뷰 / 한국경제TV,,EBSCulture (EBS 교양)
[한국경제TV LIVE] No.1 경제/증권 채널,,MBN News
"[경제전쟁 꾼 23] ‘내 주식 언제 오르나’ 천만 동학개미 주목, 가치투자 대가들은 어디에 투자했나? 투자비법 공개! (존리, 강방천, 이창훈, 삼프로TV 김동환)",,MBN News
테이퍼링보다 北 리스크가 문제! 환율을 증시 향방 키(Key) / 삼성전자·SK하이닉스·현대모비스 / 이승조 다인경제 대표 / 투자의 맥 / 진짜전략 / 한국경제TV,,YTN news
"은행 대출중단 사태, 농협은 시작일 뿐/한국경제TV뉴스",,YTN news
오늘장 놓쳐선 안 될 당신이 잠든사이 일어난 해외 이슈 6 / 출근전 꼭 봐야하는 글로벌 이슈,,머니올라
[뉴스외전 경제 '쏙'] '머지포인트' 사태 일파만파…가입자·자영업자 어쩌나? (2021.08.18/뉴스외전/MBC),,머니올라
"[신선한 경제] ""밥 대신 샐러드 먹어요"" (2021.08.16/뉴스투데이/MBC)",,OBS뉴스
[신선한 경제] 서울 한강변 아파트 '15층 층고 제한' 폐지? (2021.08.20/뉴스투데이/MBC),,OBS뉴스
"환율이 심상치 않다 IMF의 쓰라린 기억…테이퍼링, 신흥국에 외환위기 부르나?(김대종)/ 주식경제 이슈분석 / 한국경제TV",,한국경제TV
"기후위기 시대, 경제와 투자전략도 이렇게 바뀌어야 합니다 | 슈카 유튜브 채널?@슈카월드?크리에이터 | 경제 ESG 투자 | 세바시 1359회",,한국경제TV
"[경제전쟁 꾼 22] 카카오뱅크, 금융 대장주 등극...금융 판도 바뀐다 (삼프로TV 김동환,염블리 염승환,구경회,서영수)",,세바시 강연 Sebasi Talk
"전기차 관련 섹터 조정시 관심, 배터리 관련 기대감은 지속 / 전기차 / 2차전지 / 최성민 글로벌투자전략가 / 한국경제TV",,세바시 강연 Sebasi Talk
"외국인 반도체 거친 매도... 변동성 이길 전략은? / 삼성전자, SK하이닉스, 에스엠 / 김우식 주식창 고수 / 진짜전략 / 한국경제TV",,MBCNEWS
"[경제전쟁 꾼 14] 인플레이션 우려 속 자산시장 들썩, 테이퍼링 시기는? (오건영, 김상훈, 김진일, 김동환)",,MBCNEWS
"아시아지수의 계속된 하락, 저가매수 기회일까? / 오기석의 미리보는 글로벌 이슈 / 성공투자 오후증시 / 한국경제TV",,MBCNEWS
"美 증시, 단기 조정 우려…대응 전략은? / 유동원의 글로벌 포트폴리오",,MBCNEWS
"삼성전자·SK하이닉스 급락 속 역발상 전략 통할까? / 삼성전자, SK하이닉스, 에이프로 / 이승조 다인경제 대표/ 투자의 맥 / 진짜전략 / 한국경제TV",,채널A 뉴스
금융천재 오건영 부부장이 본 매크로 환경 급변 대응을 위한 분산 투자전략은? / 삼성전자 / SK하이닉스 / 오건영 신한은행 부부장 / 한국경제TV,,채널A 뉴스
"'잃어버린 30년' 보낸 일본, 그동안 역전한 한국 / SBS / 친절한 경제",,SBS 뉴스
"김학균 센터장의 큰 그림! 스마트한 동학개미, 이번에는 다르다 약세장을 대하는 태도(김학균)/ 주식경제 이슈분석 / 한국경제TV",,SBS 뉴스
당국 경고에 가계대출 중단…은행발 '대출한파' 온다 - 한국경제TV 뉴스플러스 08월 20일 다시보기,,MBCNEWS
[신선한 경제] 주택담보대출 변동금리 최고 4%대…대출 이자 어쩌나 (2021.08.19/뉴스투데이/MBC),,MBCNEWS
분산투자를 한다면 금리가 오를 때 월세 받는 이 자산은 피해라!(오건영)/ 주식경제 이슈분석 / 한국경제TV,,MBCNEWS
"코스피의 혼조세 지금은 상승을 위한 에너지 축적 기간, 건강한 박스권이다(김한진)/ 주식경제 이슈분석 / 한국경제TV",,MBCNEWS
"부동산 취득, 자국민보다 외국인이 더 쉽다? / SBS / 친절한 경제",,JTBC News
